,Street,Area,City,Price,beds,baths,Url,Rent_per_room,lat,lng,avg_per_area
98,2 Vigo Place,Papatoetoe,Auckland,650.0,3.0,1.0,https://www.myrent.co.nz/listings/VR8B7X,216.66666666666663,-36.983064899999995,174.8399665,228.78571428571428
99,184 Symonds Street,EdenTerrace,Auckland,450.0,1.0,1.0,https://www.myrent.co.nz/listings/CARGBH,450.0,-36.86371389999999,174.7615505,340.8333333333333
100,278D Okura River Road,LongBay,Auckland,1099.0,5.0,4.0,https://www.myrent.co.nz/listings/3M5NVB,219.8,-36.69404979999999,174.7175524,219.8
101,12A Onslow Road,MountEden,Auckland,1040.0,4.0,2.0,https://www.myrent.co.nz/listings/LJKFKW,260.0,-36.8740304,174.7501573,346.75
102,116/10 Ronayne Street,AucklandCentral,Auckland,740.0,2.0,2.0,https://www.myrent.co.nz/listings/MF5P7N,370.0,-36.8491662,174.7754553,383.5460992907801
103,1/66 Gosford Drive,BotanyDowns,Auckland,660.0,3.0,2.0,https://www.myrent.co.nz/listings/LXRSKT,220.0,-36.9086366,174.9127939,192.26666666666665
104,15 Ali Place,Ranui,Auckland,650.0,3.0,2.0,https://www.myrent.co.nz/listings/P1NJHH,216.66666666666663,-36.8629752,174.6095796,190.96666666666664
105,1/15 Andersons Road,Oteha,Auckland,670.0,3.0,2.0,https://www.myrent.co.nz/listings/JSGNWS,223.33333333333331,-36.714738399999995,174.71996049999998,237.5
106,21B Bayswater Avenue,Bayswater,Auckland,350.0,1.0,1.0,https://www.myrent.co.nz/listings/VTNJZQ,350.0,-36.815906,174.7717717,347.5
107,3/178 Chivalry Road,Glenfield,Auckland,480.0,2.0,1.0,https://www.myrent.co.nz/listings/OSCWHJ,240.0,-36.7803944,174.73642819999998,228.88888888888889
108,3/9 Michaels Avenue,Ellerslie,Auckland,650.0,3.0,1.0,https://www.myrent.co.nz/listings/APP5EZ,216.66666666666663,-36.8973869,174.8210111,235.35714285714286
109,67B Hastie Avenue,MangereBridge,Auckland,600.0,4.0,1.0,https://www.myrent.co.nz/listings/AFCENX,150.0,-36.9441081,174.7961506,255.0
110,69 Hall Avenue,Mangere,Auckland,460.0,1.0,1.0,https://www.myrent.co.nz/listings/DK1SVT,460.0,-36.95928010000001,174.7971983,398.3333333333333
111,5 Messenger Road,Stillwater,Silverdale,450.0,1.0,1.0,https://www.myrent.co.nz/listings/HUNHQK,450.0,-36.634424100000004,174.7059731,450.0
112,1/41 Ellice Road,TotaraVale,Auckland,550.0,3.0,1.0,https://www.myrent.co.nz/listings/JHCRMQ,183.33333333333331,-36.767099200000004,174.7275193,194.99999999999994
113,12 Malabar Drive,Ellerslie,Auckland,800.0,4.0,2.0,https://www.myrent.co.nz/listings/TJ2H6C,200.0,-36.8935588,174.8145629,235.35714285714286
114,59A Queen Street,Riverhead,Riverhead,650.0,3.0,2.0,https://www.myrent.co.nz/listings/Y4C73U,216.66666666666663,-36.758879,174.597018,216.66666666666663
115,41 Konini Road,Greenlane,Auckland,715.0,3.0,1.0,https://www.myrent.co.nz/listings/39KVG2,238.33333333333331,-36.9027789,174.7990994,271.1111111111111
116,,Manurewa,Auckland,475.0,2.0,1.0,https://www.myrent.co.nz/listings/T9WPMR,237.5,-37.025395399999994,174.8934802,206.42857142857142
117,246A Blockhouse Bay Road,Avondale,Auckland,385.0,2.0,1.0,https://www.myrent.co.nz/listings/WILJ7X,192.5,-36.9044461,174.7025069,183.69047619047618
118,56 Brandon Road,GlenEden,Auckland,515.0,3.0,1.0,https://www.myrent.co.nz/listings/AAKC3Y,171.66666666666666,-36.905577,174.65902319999998,224.79166666666666
119,3A Hobson Heights Road,LucasHeights,Auckland,800.0,2.0,2.0,https://www.myrent.co.nz/listings/1AK1HZ,400.0,-36.7237145,174.6776484,400.0
120,98 Reynolds Road,Pukekohe,Pukekohe,610.0,4.0,2.0,https://www.myrent.co.nz/listings/H5YAL1,152.5,-37.1903864,174.91544069999998,166.80555555555554
121,,RedBeach,Red Beach,450.0,2.0,1.0,https://www.myrent.co.nz/listings/4VEAT1,225.0,-36.6025056,174.6945312,225.0
122,17A Greenhaven Avenue,Opaheke,Papakura,650.0,3.0,2.0,https://www.myrent.co.nz/listings/WX5B7R,216.66666666666663,-37.07300610000001,174.9515764,211.66666666666663
123,5 Park Chester Road,Pukekohe,Pukekohe,590.0,3.0,2.0,https://www.myrent.co.nz/listings/EUSHR2,196.66666666666663,-36.8484597,174.7633315,166.80555555555554
124,987 Hibiscus Coast Highway,Waiwera,Orewa,1200.0,6.0,3.0,https://www.myrent.co.nz/listings/ZA9QJQ,200.0,-36.5520654,174.70664140000002,200.0
